identifier,dimension,smiles,bus,elements,ms,nms,mo_formula,csdformula
OBUMAZ,2,NCCCN,[0],"['Mn', 'O', 'P']",['Mn'],"['O', 'P']",Mn3 P4 H4 O12,"(C3 H12 N2 2+)n,n(H4 Mn3 O12 P4 2-)"
OCABOK,0,C1CNCCN1,[],"['Cr', 'O']",['Cr'],['O'],Cr2 O7,"C4 H12 N2 2+,Cr2 O7 2-"
OCUQIO,3,C1CNC1,[7],"['C', 'Cu', 'O']",['Cu'],"['C', 'O']",Cu2 H6 C6 O12,"(C6 H6 Cu2 O12 2-)n,2n(C3 H8 N1 1+)"
OCUVUG,0,CCCCN,[],"['Mo', 'O']",['Mo'],['O'],Mo7 O24,"Mo7 O24 6-,6(C4 H12 N1 1+),4(H2 O1)"
ODEKAL,3,NCCN,[1],"['In', 'Li', 'O', 'P']","['In', 'Li']","['O', 'P']",Li1 In2 P4 H3 O16,"(C2 H10 N2 2+)n,n(H3 In2 Li1 O16 P4 2-)"
ODICOV,1,Cc1n[nH]c(C)c1-c1c(C)n[nH]c1C,[],"['Mo', 'O']",['Mo'],['O'],Mo4 O13,"(C10 H16 N4 2+)n,n(Mo4 O13 2-),n(H2 O1)"
ODICUB,0,Cc1n[nH]c(C)c1-c1c(C)n[nH]c1C,[5],"['Mo', 'O', 'Si']","['Mo', 'Si']",['O'],Si1 Mo12 O40,"Mo12 O40 Si1 4-,2(C10 H16 N4 2+),4(H2 O1)"
ODIJIW,3,CN1CCNCC1,[1],"['Al', 'Mg', 'O', 'P']","['Al', 'Mg']","['O', 'P']",Mg1 Al3 P4 O16,"(Al3 Mg1 O16 P4 1-)2n,n(C5 H14 N2 2+)"
ODOTAF,0,Nc1nccnn1,[10],"['N', 'Nd', 'O']",['Nd'],"['N', 'O']",Nd1 H8 N3 O13,"H8 N3 Nd1 O13,3(C3 H4 N4)"
OFIDAJ,3,c1ccncc1,[4],"['Bi', 'C', 'O']",['Bi'],"['C', 'O']",Bi4 H8 C16 O36,"(C5 H6 N1 1+)4n,n(C16 H8 Bi4 O36 4-),4n(H2 O1)"
OFITAY,2,NCCCN,[6],"['As', 'Ga', 'O']",['Ga'],"['As', 'O']",Ga2 As2 H2 O10,"(C3 H12 N2 2+)n,n(H2 As2 Ga2 O10 2-)"
OFITEC,2,NCCCN,[6],"['As', 'Fe', 'O']",['Fe'],"['As', 'O']",Fe2 As2 H2 O10,"(C3 H12 N2 2+)n,n(H2 As2 Fe2 O10 2-)"
OFIVEE,1,NCCCN,[1],"['Al', 'O', 'P']",['Al'],"['O', 'P']",Al1 P2 H1 O8,"(C3 H12 N2 2+)n,n(H1 Al1 O8 P2 2-)"
OFIVII,1,CC(N)CN,[1],"['Al', 'O', 'P']",['Al'],"['O', 'P']",Al1 P2 O8,"(H4 N1 1+)n,n(C3 H12 N2 2+),n(Al1 O8 P2 3-)"
OFIWIK,3,NC1CCCCC1,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']",Zn3 P4 H4 O12,"(C6 H14 N1 1+)2n,n(H4 O12 P4 Zn3 2-)"
OFIWOQ,3,NC1CCCC1,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']",Zn3 P4 H4 O12,"(C5 H12 N1 1+)2n,n(H4 O12 P4 Zn3 2-)"
OFOFUN,0,CNC,[],"['Ce', 'O', 'Te', 'W']","['Ce', 'Te', 'W']",['O'],Ce2 Te2 H30 W37 O142,"H30 Ce2 O142 Te2 W37 14-,12(C2 H8 N1 1+),39(H2 O1),2(Na1 1+)"
OFUJEF,0,c1ccncc1,"[14, 12]","['Al', 'B', 'O']",['Al'],"['B', 'O']",Al1 B12 H12 O26,"C5 H6 N1 1+,H12 Al1 B12 O26 1-"
OGAHUC,3,CCNCC,[1],"['Al', 'F', 'O', 'P']",['Al'],"['F', 'O', 'P']",Al3 P3 O12 F1,"(Al3 F1 O12 P3 1-)n,C4 H12 N1 1+,0.5(H2 O1)"
OGAJAK,3,CC(C)N,[1],"['Al', 'F', 'O', 'P']",['Al'],"['F', 'O', 'P']",Al3 P3 O12 F1,"(Al3 F1 O12 P3 1-)n,C3 H10 N1 1+,H2 O1"
OGAJIS,3,C1CCNCC1,[1],"['Al', 'F', 'O', 'P']",['Al'],"['F', 'O', 'P']",Al3 P3 O12 F1,"(Al3 F1 O12 P3 1-)n,C5 H12 N1 1+,0.25(H2 O1)"
OGIBOV,3,C1CNCCN1,[1],"['F', 'Ga', 'O', 'P']",['Ga'],"['F', 'O', 'P']",Ga5 P5 O20 F4,"(C4 H12 N2 2+)2n,n(F4 Ga5 O20 P5 4-)"
OGULUZ,2,C1CN2CCN1CC2,[6],"['As', 'F', 'Ga', 'O']",['Ga'],"['As', 'F', 'O']",Ga4 As2 H1 O12 F7,"(H1 As2 F7 Ga4 O12 4-)n,2n(C6 H14 N2 2+),2n(H2 O1)"
OGUVEU01,3,CNC,[7],"['C', 'Fe', 'O']",['Fe'],"['C', 'O']",Fe4 H12 C12 O24,"(C12 H12 Fe4 O24 3-)n,3n(C2 H8 N1 1+),n(H2 O1)"
OHEGAJ,3,NCCCNCCCN,"[6, 4]","['As', 'C', 'O', 'Zn']",['Zn'],"['As', 'C', 'O']",Zn6 As6 H4 C4 O32,"(C6 H20 N3 3+)2n,n(C4 H4 As6 O32 Zn6 6-)"
OHEGEN,3,NCCCNCCCN,[6],"['As', 'O', 'Zn']",['Zn'],"['As', 'O']",Zn6 As7 H3 O28,"(C6 H20 N3 3+)2n,n(H3 As7 O28 Zn6 6-),n(H2 O1)"
OHOJOM,0,Cc1ccc2ccc3ccc(C)nc3c2n1,[4],"['C', 'Nb', 'O']",['Nb'],"['C', 'O']",Nb1 C6 O13,"2(C14 H13 N2 1+),C6 Nb1 O13 3-,H4 N1 1+"
OHUHOO,0,NCCN,"[11, 1]","['As', 'O', 'P', 'V']",['V'],"['As', 'O', 'P']",V14 As8 P1 O46,"7(C2 H10 N2 2+),2(As8 O46 P1 V14 7-),4(H2 O1)"
OHUNUA,2,CC(N)CN,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']",Zn2 P2 O8,"(C3 H12 N2 2+)n,n(O8 P2 Zn2 2-)"
OHUSER,0,c1nnc[nH]1,[1],"['O', 'P', 'W']",['W'],"['O', 'P']",P1 W12 O40,"O40 P1 W12 3-,3(C2 H4 N3 1+),6.5(H2 O1)"
OJEVII,0,C1CNCCN1,[],"['Cr', 'O']",['Cr'],['O'],Cr1 O4,"C4 H12 N2 2+,Cr1 O4 2-"
OJIXUC,1,N=C(N)N,[4],"['C', 'O', 'V']",['V'],"['C', 'O']",V1 C4 O9,"2(C1 H6 N3 1+),n(C4 O9 V1 2-)"
OJOQUZ,1,C1CNCCN1,[1],"['Fe', 'O', 'P']",['Fe'],"['O', 'P']",Fe4 P6 H4 O24,"(C4 H11 N2 1+)2n,n(C4 H12 N2 2+),n(H4 Fe4 O24 P6 4-),2n(H2 O1)"
OJUSAN,3,C1CNCCN1,[3],"['O', 'Se', 'Zn']",['Zn'],"['O', 'Se']",Zn2 H2 Se6 O16,"(C4 H12 N2 2+)n,n(H2 O16 Se6 Zn2 2-)"
OLATIE,0,CNC,[1],"['O', 'P', 'W']",['W'],"['O', 'P']",P2 H4 W18 O62,"2(C2 H8 N1 1+),H4 O62 P2 W18 2-,C2 H7 N1,H2 O1"
OLELUM,1,NCCN,[0],"['Cr', 'F', 'O', 'P']",['Cr'],"['F', 'O', 'P']",Cr1 P1 H1 O3 F3,"(C2 H10 N2 2+)n,n(H1 Cr1 F3 O3 P1 2-)"
OLEMAT,1,NCCN,[0],"['F', 'O', 'P', 'V']",['V'],"['F', 'O', 'P']",V1 P1 H1 O3 F3,"(C2 H10 N2 2+)n,n(H1 F3 O3 P1 V1 2-)"
OLIJOI,3,NCCN,[],"['Ge', 'O', 'Zr']","['Ge', 'Zr']",['O'],Zr1 Ge3 O9,"(C2 H10 N2 2+)n,n(Ge3 O9 Zr1 2-),n(H2 O1)"
OMUDAD,2,CN(C)c1ccncc1,[1],"['Al', 'F', 'O', 'P']",['Al'],"['F', 'O', 'P']",Al4 P4 H2 O17 F1,"2(C7 H11 N2 1+),n(H2 Al4 F1 O17 P4 1-),F1 1-,H2 O1"
ONAYAF,1,Nc1nc(N)nc(N)n1,[2],"['In', 'O', 'S']",['In'],"['O', 'S']",In2 S4 O18,"(In2 O18 S4 4-)n,4n(C3 H7 N6 1+),4n(H2 O1)"
OPAGUI,0,Cc1cccc(-c2cccc(-c3cccc(C)n3)n2)n1,[10],"['Eu', 'N', 'O']",['Eu'],"['N', 'O']",Eu1 N5 O15,"C17 H17 N3 2+,Eu1 N5 O15 2-"
OPAMOI,3,C1CNCCN1,[1],"['Co', 'O', 'P', 'V']","['Co', 'V']","['O', 'P']",V4 Co1 P4 H4 O24,"(H4 Co1 O24 P4 V4 4-)n,2n(C4 H12 N2 2+),2n(H2 O1)"
OPAMUO,0,C1CCNC1,[],"['O', 'V']",['V'],['O'],V20 H2 O56,"H2 O28 V10 4-,O28 V10 6-,10(C4 H10 N1 1+)"
OPARON,0,c1c[nH]cn1,[1],"['Mo', 'O', 'P', 'Sb']","['Mo', 'Sb']","['O', 'P']",Sb2 Mo12 P1 H4 O40,"H4 Mo12 O40 P1 Sb2,2(C3 H4 N2),2(H2 O1)"
OPEGOG,3,NCCCN,"[0, 1]","['In', 'O', 'P']",['In'],"['O', 'P']",In6 P14 H20 O43,"(C3 H12 N2 2+)2n,n(H20 In6 O43 P14 4-)"
OPOFAB,3,NCCNCCN,[6],"['As', 'O', 'Zn']",['Zn'],"['As', 'O']",Zn5 As6 H2 O24,"(H2 As6 O24 Zn5 6-)n,2n(C4 H16 N3 3+)"
OQOFOR,0,C1CNCCN1,[1],"['O', 'P', 'W']",['W'],"['O', 'P']",P1 W12 O40,"O40 P1 W12 3-,1.5(C4 H12 N2 2+),4(H2 O1)"
ORERAG,3,NCCCN,[1],"['Be', 'O', 'P']",['Be'],"['O', 'P']",Be6 P8 H8 O32,"(H8 Be6 O32 P8 4-)n,2(C3 H12 N2 2+)"
ORIPUB,1,NC1CN2CCC1CC2,[],"['O', 'Te', 'V']","['Te', 'V']",['O'],V2 Te2 O10,"(C7 H16 N2 2+)n,n(O10 Te2 V2 2-)"
ORIQAI,1,NC1CN2CCC1CC2,[],"['O', 'Te', 'V']","['Te', 'V']",['O'],V2 Te2 O10,"(C7 H16 N2 2+)n,n(O10 Te2 V2 2-)"
OROLUD,3,CCN(CC)CCCN,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']",Zn6 P8 H8 O24,"(H8 O24 P8 Zn6 4-)n,2n(C7 H20 N2 2+)"
OROMAK,3,CN(C)CCCN,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']",Zn6 P8 H8 O24,"(H8 O24 P8 Zn6 4-)n,2n(C5 H16 N2 2+)"
OROWAV,0,C1CN2CCC1CC2,[],"['O', 'Re']",['Re'],['O'],Re1 O4,"C7 H14 N1 1+,O4 Re1 1-"
OTAXOX,3,CNC,[7],"['C', 'Mg', 'O']",['Mg'],"['C', 'O']",Mg6 H12 C12 O24,"(C12 H12 Mg6 O24)n,n(C2 H7 N1)"
OVAGAU,2,NCCN,[14],"['Al', 'B', 'O']",['Al'],"['B', 'O']",Al1 B3 H1 O7,"(H1 Al1 B3 O7 1-)n,0.5n(C2 H10 N2 2+)"
OVATAH,2,NCCN,[2],"['Co', 'F', 'O', 'S']",['Co'],"['F', 'O', 'S']",Co2 H4 S2 O10 F2,"(H4 Co2 F2 O10 S2 2-)n,n(C2 H10 N2 2+)"
OVEJIJ,3,NCCN,[1],"['O', 'P', 'V']",['V'],"['O', 'P']",V9 P8 H12 O46,"(H12 O46 P8 V9)n,4n(H2 O1),2n(C2 H8 N2)"
OVETEQ,0,NCCN,[11],"['As', 'Fe', 'Mo', 'O']","['Fe', 'Mo']","['As', 'O']",Fe2 Mo14 As2 O54,"As2 Fe2 Mo14 O54 12-,2(C2 H10 N2 2+),6(H2 O1),8(H4 N1 1+)"
OVITAP,2,c1cc(-c2ccncc2)ccn1,[2],"['La', 'O', 'S']",['La'],"['O', 'S']",La2 S4 O16,"(La2 O16 S4 2-)n,n(C10 H10 N2 2+),2n(H2 O1)"
OVITET,2,c1cc(-c2ccncc2)ccn1,[2],"['O', 'Pr', 'S']",['Pr'],"['O', 'S']",Pr2 H8 S4 O20,"(H8 O20 Pr2 S4 2-)n,n(C10 H10 N2 2+)"
OVITIX,2,c1cc(-c2ccncc2)ccn1,[2],"['Nd', 'O', 'S']",['Nd'],"['O', 'S']",Nd2 H4 S4 O18,"(H4 Nd2 O18 S4 2-)n,n(C10 H10 N2 2+)"
OVITOD,2,c1cc(-c2ccncc2)ccn1,[2],"['O', 'S', 'Sm']",['Sm'],"['O', 'S']",Sm2 H4 S4 O18,"(H4 O18 S4 Sm2 2-)n,n(C10 H10 N2 2+)"
OVITUJ,2,c1cc(-c2ccncc2)ccn1,[2],"['Eu', 'O', 'S']",['Eu'],"['O', 'S']",Eu2 H4 S4 O18,"(H4 Eu2 O18 S4 2-)n,n(C10 H10 N2 2+)"
OVUVUX,0,CCCCN,[],"['Mo', 'O']",['Mo'],['O'],Mo8 O28,"Mo7 O24 6-,8(C4 H12 N1 1+),Mo1 O4 2-,3(H2 O1)"
OVUWAE,0,CCCCN,[],"['Mo', 'O']",['Mo'],['O'],Mo14 O46,"Mo14 O46 10-,10(C4 H12 N1 1+),5.5(H2 O1)"
OVUWEI,0,C1CCNC1,[],"['Mo', 'O']",['Mo'],['O'],Mo7 O24,"Mo7 O24 6-,6(C4 H10 N1 1+),2(H2 O1)"
OWUFIX,0,C1CCC(N2CCNCC2)CC1,[],"['Cr', 'O']",['Cr'],['O'],Cr2 O7,"C10 H22 N2 2+,Cr2 O7 2-"
OXAYIW,0,c1cc(-c2ccncc2)ccn1,[],"['Mo', 'O', 'Te']","['Mo', 'Te']",['O'],Te1 Mo6 O24,"Mo6 O24 Te1 6-,3(C10 H10 N2 2+)"
OXIDUW,3,CCN,[7],"['C', 'Cr', 'Na', 'O']","['Cr', 'Na']","['C', 'O']",Na1 Cr1 H6 C6 O12,"2(C2 H8 N1 1+),n(C6 H6 Cr1 Na1 O12 2-)"
OXIGOT,3,CCN,[7],"['Al', 'C', 'Na', 'O']","['Al', 'Na']","['C', 'O']",Na1 Al1 H6 C6 O12,"2(C2 H8 N1 1+),n(C6 H6 Al1 Na1 O12 2-)"
OYEKEK,0,C1=Cc2nc1c(-c1ccncc1)c1ccc([nH]1)c(-c1ccncc1)c1nc(c(-c3ccncc3)c3ccc([nH]3)c2-c2ccncc2)C=C1,[5],"['O', 'Si', 'W']","['Si', 'W']",['O'],Si1 W12 O40,"2(C40 H30 N8 4+),C40 H26 N8,2(O40 Si1 W12 4-),2(C2 H3 N1),5(H2 O1)"
OYEKIO,0,C1=Cc2nc1c(-c1ccncc1)c1ccc([nH]1)c(-c1ccncc1)c1nc(c(-c3ccncc3)c3ccc([nH]3)c2-c2ccncc2)C=C1,[5],"['O', 'Si', 'W']","['Si', 'W']",['O'],Si1 W12 O40,"2(C40 H30 N8 4+),C40 H26 N8,2(O40 Si1 W12 4-),5(H2 O1)"
OYENUC,1,NCCNCCN,[1],"['Al', 'F', 'O', 'P']",['Al'],"['F', 'O', 'P']",Al2 P4 H6 O16 F2,"(H6 Al2 F2 O16 P4 2-)n,n(C4 H15 N3 2+)"
OYUCUH,1,C1CN2CCN1CC2,[1],"['Mo', 'Na', 'Ni', 'O', 'P']","['Mo', 'Na', 'Ni']","['O', 'P']",Na4 Ni2 Mo12 P8 H28 O70,"(C6 H14 N2 2+)2n,n(H28 Mo12 Na4 Ni2 O70 P8 4-),7n(H2 O1)"
OYUDAO,1,C1CN2CCN1CC2,[1],"['K', 'Mo', 'Ni', 'O', 'P']","['K', 'Mo', 'Ni']","['O', 'P']",K2 Ni2 Mo12 P8 H38 O74,"(C6 H14 N2 2+)2n,n(H38 K2 Mo12 Ni2 O74 P8 4-),6n(H2 O1)"
OYUDES,1,C1CN2CCN1CC2,[1],"['Cu', 'Mo', 'Na', 'O', 'P']","['Cu', 'Mo', 'Na']","['O', 'P']",Na2 Cu2 Mo12 P8 H38 O74,"(C6 H14 N2 2+)2n,n(H38 Cu2 Mo12 Na2 O74 P8 4-),6n(H2 O1)"
OZANOU,0,NCCN,[5],"['O', 'Si', 'W']","['Si', 'W']",['O'],Si1 W12 O40,"3(C2 H10 N2 2+),O40 Si1 W12 6-,3(H2 O1)"
OZIGAH,0,NCCCc1ccccc1,[],"['Cr', 'O']",['Cr'],['O'],Cr2 O7,"2(C9 H14 N1 1+),Cr2 O7 2-"
PABROC,0,CCCCNCCCC,[],"['O', 'V']",['V'],['O'],V20 H3 O56,"H2 O28 V10 4-,H1 O28 V10 5-,9(C8 H20 N1 1+),2.13(H2 O1)"
PACZOK,3,NCCCCCCN,[1],"['O', 'P', 'V']",['V'],"['O', 'P']",V5 P2 O17,"(O17 P2 V5 2-)n,n(C6 H18 N2 2+),3.83n(H2 O1)"
PADJEK,3,CN,[7],"['C', 'Mn', 'O']",['Mn'],"['C', 'O']",Mn1 H3 C3 O6,"(C1 H6 N1 1+)n,n(C3 H3 Mn1 O6 1-)"
PADJOU,3,CCN,[7],"['C', 'Mn', 'O']",['Mn'],"['C', 'O']",Mn1 H3 C3 O6,"(C2 H8 N1 1+)n,n(C3 H3 Mn1 O6 1-)"
PADVOH,2,NCCN,[6],"['As', 'F', 'O', 'U']",['U'],"['As', 'F', 'O']",U2 As2 H2 O12 F2,"(C2 H10 N2 2+)n,n(H2 As2 F2 O12 U2 2-),4n(H2 O1)"
PADVUN,3,NCCN,[6],"['As', 'F', 'O', 'U']",['U'],"['As', 'F', 'O']",U2 As2 H2 O8 F5,"(C2 H9 N2 1+)n,n(H2 As2 F5 O8 U2 1-)"
PADWAU,2,NCCNCCN,[6],"['As', 'F', 'O', 'U']",['U'],"['As', 'F', 'O']",U2 As3 H1 O12 F3,"(H1 As3 F3 O12 U2 3-)n,n(C4 H16 N3 3+)"
PADWEY,2,NCCN,[6],"['As', 'F', 'O', 'U']",['U'],"['As', 'F', 'O']",U2 As2 H2 O12 F2,"(C2 H10 N2 2+)n,n(H2 As2 F2 O12 U2 2-)"
PAGFIN,1,C1CNCCN1,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']",Zn1 P2 H2 O6,"(C4 H12 N2 2+)n,n(H2 O6 P2 Zn1 2-)"
PAGFUZ,3,C1CNCCN1,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']",Zn3 P4 H8 O14,"(C4 H12 N2 2+)n,n(H8 O14 P4 Zn3 2-)"
PAHHIS,0,NC12CC3CC(CC(C3)C1)C2,[5],"['Mo', 'O', 'Si']","['Mo', 'Si']",['O'],Si1 Mo12 O40,"Mo12 O40 Si1 4-,4(C10 H18 N1 1+),2(C2 H3 N1),4(H2 O1)"
PAJHIS,0,C1CN2CCN1CC2,[],"['Cr', 'O']",['Cr'],['O'],Cr2 O7,"C6 H14 N2 2+,Cr2 O7 2-"
PAKFEO,2,Cc1cccnc1,[17],"['Ba', 'Cl', 'O']",['Ba'],"['Cl', 'O']",Ba1 Cl4 O16,"(Ba1 Cl4 O16 2-)n,2n(C6 H8 N1 1+)"
PALTUU,2,CNC,[],"['Cr', 'O', 'U']","['Cr', 'U']",['O'],U2 Cr3 H2 O17,"(H2 Cr3 O17 U2 2-)n,2(C2 H8 N1 1+),H2 O1"
PALVAC,2,CC(C)(C)N,[],"['Cr', 'O', 'U']","['Cr', 'U']",['O'],U2 Cr3 H2 O17,"(H2 Cr3 O17 U2 2-)n,2(C4 H12 N1 1+)"
PALVEG,2,CNC,[],"['Cr', 'O', 'U']","['Cr', 'U']",['O'],U2 Cr3 H2 O17,"(H2 Cr3 O17 U2 2-)n,2(C2 H8 N1 1+),0.5(H2 O1)"
PAMPEZ,0,CC1CNC(C)CN1,[],"['Mo', 'O']",['Mo'],['O'],Mo8 O26,"2(C6 H16 N2 2+),Mo8 O26 4-"
PAMRAY,0,Cc1nccn1-c1ccc(-n2ccnc2C)cc1,[4],"['C', 'O', 'Zr']",['Zr'],"['C', 'O']",Zr1 C8 O16,"C14 H16 N4 2+,0.5(C8 O16 Zr1 4-),3(H2 O1)"
PAMREC,0,Cc1cc(-n2ccnc2)c(C)cc1-n1ccnc1,[4],"['C', 'O', 'Zr']",['Zr'],"['C', 'O']",Zr1 C8 O16,"C14 H16 N4 2+,0.5(C8 O16 Zr1 4-),2(H2 O1)"
PAMRIG,0,c1cn(Cc2ccc(Cn3ccnc3)cc2)cn1,[4],"['C', 'O', 'Zr']",['Zr'],"['C', 'O']",Zr1 C8 O16,"C14 H16 N4 2+,0.5(C8 O16 Zr1 4-),0.25(H2 O1)"
PAMROM,0,c1cc(-n2ccnc2)cc(-n2ccnc2)c1,[4],"['C', 'O', 'Zr']",['Zr'],"['C', 'O']",Zr1 C8 O16,"C12 H12 N4 2+,0.5(C8 O16 Zr1 4-),1.5(H2 O1)"
PAPHOE,0,CNC,[5],"['Cl', 'Fe', 'O', 'Si', 'W']","['Fe', 'Si', 'W']","['Cl', 'O']",Fe2 Si1 H4 W10 Cl1 O39,"H4 Cl1 Fe2 O39 Si1 W10 5-,5(C2 H8 N1 1+),7(H2 O1)"
PAQPIG,3,NCCN,[1],"['O', 'P', 'V']",['V'],"['O', 'P']",V3 P3 H5 O17,"(C2 H10 N2 2+)n,n(H5 O17 P3 V3 2-)"
PAQRAC,0,NCCN,[8],"['C', 'Mo', 'O', 'V']","['Mo', 'V']","['C', 'O']",V1 Mo6 H9 C6 O28,"C6 H9 Mo6 O28 V1 6-,3(C2 H10 N2 2+),5(H2 O1)"
PARHIC,1,Cc1cccc(C)c1N,[1],"['Li', 'O', 'P']",['Li'],"['O', 'P']",Li2 P6 H8 O22,"(H8 Li2 O22 P6 4-)n,4(C8 H12 N1 1+),2(H2 O1)"
PARNUS,2,NCCN(CCN)CCN,[1],"['Mn', 'O', 'P']",['Mn'],"['O', 'P']",Mn3 P4 O16,"(C6 H21 N4 3+)2n,n(Mn3 O16 P4 6-),6n(H2 O1)"
PAWCIA,2,NCCNCCNCCN,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']",Zn4 P6 H6 O18,"(C6 H22 N4 4+)n,n(H6 O18 P6 Zn4 4-)"
PAWFEZ,1,Nc1ccccc1,[1],"['Cd', 'O', 'P']",['Cd'],"['O', 'P']",Cd1 P6 H8 O22,"(C6 H8 N1 1+)4n,n(H8 Cd1 O22 P6 4-),4n(H2 O1)"
PEBCAA,3,C1CN2CCN1CC2,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']",Zn5 P6 H6 O25,"(C6 H14 N2 2+)2n,n(H6 O25 P6 Zn5 4-)"
PECBAC,2,NCCN,[2],"['F', 'Ni', 'O', 'S']",['Ni'],"['F', 'O', 'S']",Ni2 H4 S2 O10 F2,"(C2 H10 N2 2+)n,n(H4 F2 Ni2 O10 S2 2-)"
PECBEG,2,NCCN,[2],"['Co', 'F', 'Ni', 'O', 'S']","['Co', 'Ni']","['F', 'O', 'S']",Co1 Ni1 H4 S2 O10 F2,"(C2 H10 N2 2+)n,n(H4 Co1 F2 Ni1 O10 S2 2-)"
PECGIO,1,CCN,[27],"['C', 'Cl', 'Gd', 'O']",['Gd'],"['C', 'Cl', 'O']",Gd1 H4 C8 Cl8 O8,"(C8 H4 Cl8 Gd1 O8 1-)n,n(C2 H8 N1 1+)"
PEDBAC,0,C1CNCCN1,[1],"['Mo', 'O', 'P']",['Mo'],"['O', 'P']",Mo5 P2 O23,"3(C4 H12 N2 2+),Mo5 O23 P2 6-,H2 O1"
PEDBEG,0,CC(N)CN,[1],"['Mo', 'O', 'P']",['Mo'],"['O', 'P']",Mo5 P2 O23,"3(C3 H12 N2 2+),Mo5 O23 P2 6-,4(H2 O1)"
PEDQIA,2,Cc1ccncc1,[17],"['Ba', 'Cl', 'O']",['Ba'],"['Cl', 'O']",Ba1 Cl4 O16,"(Ba1 Cl4 O16 2-)n,2n(C6 H8 N1 1+)"
PEFJUF,3,CCN(CC)CC,[1],"['Al', 'O', 'P']",['Al'],"['O', 'P']",Al5 P6 H1 O24,"(C6 H16 N1 1+)2n,n(H1 Al5 O24 P6 2-),2n(H2 O1)"
PEGLAP,0,NCCN,[1],"['Ni', 'O', 'P']",['Ni'],"['O', 'P']",Ni1 P4 H6 O16,"2(C2 H10 N2 2+),H6 Ni1 O16 P4 4-"
PEGSUS,0,CCCCCCN,[],"['O', 'Re']",['Re'],['O'],Re1 O4,"C6 H16 N1 1+,O4 Re1 1-"
PEGTAZ,0,Cc1cccc(C)n1,[],"['O', 'Re']",['Re'],['O'],Re1 O4,"C7 H10 N1 1+,O4 Re1 1-"
PEGTED,0,Cc1cc(C(C)(C)C)nc(C(C)(C)C)c1,[],"['O', 'Re']",['Re'],['O'],Re1 O4,"C14 H24 N1 1+,O4 Re1 1-"
PEGTIH,0,CN1CCCCC1,[],"['O', 'Re']",['Re'],['O'],Re1 O4,"C6 H14 N1 1+,O4 Re1 1-"
PEGTUT,0,CN(C)c1ccccc1,[],"['O', 'Re']",['Re'],['O'],Re1 O4,"C8 H12 N1 1+,O4 Re1 1-"
PEHNUO,3,C1CNC(CN2CCCC2)C1,[1],"['Al', 'F', 'O', 'P']",['Al'],"['F', 'O', 'P']",Al3 P3 H1 O12 F1,"0.5(C9 H18 N2),(H1 Al3 F1 O12 P3)n,1.25(H2 O1)"
PEHSED,3,c1c[nH]cn1,[4],"['C', 'Cr', 'Mn', 'O']","['Cr', 'Mn']","['C', 'O']",Mn2 Cr4 C24 O48,"(C24 Cr4 Mn2 O48 8-)n,8n(C3 H5 N2 1+),n(H2 O1)"
PEJFAM,2,NCCCN,"[4, 1]","['C', 'Ga', 'O', 'P']",['Ga'],"['C', 'O', 'P']",Ga4 P4 H4 C2 O22,"(C3 H12 N2 2+)n,n(C2 H4 Ga4 O22 P4 2-),2n(H2 O1)"
PEJFEQ,3,NCCN,"[4, 1]","['C', 'Ga', 'O', 'P']",['Ga'],"['C', 'O', 'P']",Ga4 P4 C2 O20,"(C2 H10 N2 2+)n,n(C2 Ga4 O20 P4 2-),2n(H2 O1)"
PEJFIU,3,NCCCN,"[4, 1]","['C', 'Ga', 'O', 'P']",['Ga'],"['C', 'O', 'P']",Ga4 P4 C2 O20,"(C3 H12 N2 2+)n,n(C2 Ga4 O20 P4 2-)"
PEJFOA,3,NCCNCCN,"[4, 1]","['C', 'Ga', 'O', 'P']",['Ga'],"['C', 'O', 'P']",Ga5 P5 H6 C2 O27,"(C4 H15 N3 2+)n,n(C2 H6 Ga5 O27 P5 2-)"
PEJFUG,3,NCCNCCN,"[4, 1]","['C', 'Ga', 'O', 'P']",['Ga'],"['C', 'O', 'P']",Ga4 P5 H2 C2 O24,"(C2 H2 Ga4 O24 P5 3-)n,n(C4 H16 N3 3+),3n(H2 O1)"
PEKGES,0,NCCN1CCNCC1,[],"['O', 'Sb', 'V']","['Sb', 'V']",['O'],V16 Sb4 O42,"4(C6 H17 N3 2+),O42 Sb4 V16 8-,2(H2 O1)"
PELWAF,2,NCCCN,[3],"['O', 'Se', 'Zn']",['Zn'],"['O', 'Se']",Zn3 Se4 O12,"(C3 H12 N2 2+)n,n(O12 Se4 Zn3 2-),2n(H2 O1)"
PENZIS,3,c1cc(CCCc2ccncc2)ccn1,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']",Zn3 P4 H4 O12,"(H4 O12 P4 Zn3 2-)n,n(C13 H16 N2 2+)"
