identifier,dimension,smiles,bus,elements,ms,nms,mo_formula,csdformula
XENFEE,3,C1CNCCNC1,[17],"['Cl', 'K', 'O']",['K'],"['Cl', 'O']",K1 Cl3 O12,"(Cl3 K1 O12 2-)n,C5 H14 N2 2+"
XENJAC,0,C1CNCCN1,[],"['Cr', 'F', 'O']",['Cr'],"['F', 'O']",Cr2 O5 F2,"C4 H12 N2 2+,Cr2 F2 O5 2-"
XENYIA,1,C1CNCCN1,[2],"['Mn', 'O', 'S']",['Mn'],"['O', 'S']",Mn2 H4 S4 O18,"(H4 Mn2 O18 S4 4-)n,2n(C4 H12 N2 2+)"
XEQFAB,0,CCNCC,[1],"['O', 'P', 'W', 'Zr']","['W', 'Zr']","['O', 'P']",Zr1 P2 W22 O78,"10(C4 H12 N1 1+),O78 P2 W22 Zr1 10-,7(H2 O1)"
XEQFEF,0,CCNCC,[1],"['Hf', 'O', 'P', 'W']","['Hf', 'W']","['O', 'P']",Hf1 P2 W22 O78,"10(C4 H12 N1 1+),Hf1 O78 P2 W22 10-,2(H2 O1)"
XESGIM,3,NCCCN,[1],"['Al', 'F', 'O', 'P']",['Al'],"['F', 'O', 'P']",Al10 P10 H14 O44 F9,"(H14 Al10 F9 O44 P10 7-)n,4n(C3 H12 N2 2+),n(H1 O1 1-)"
XESGOS,3,NCCCN,[1],"['Al', 'F', 'O', 'P']",['Al'],"['F', 'O', 'P']",Al6 P6 O24 F4,"(C3 H12 N2 2+)2n,n(Al6 F4 O24 P6 4-),n(H2 O1)"
XESLIR,1,C1CNCCN1,[1],"['F', 'In', 'O', 'P']",['In'],"['F', 'O', 'P']",In2 P4 H6 O16 F2,"(H6 F2 In2 O16 P4 2-)n,n(C4 H12 N2 2+)"
XESZAX,1,C1CNCCN1,[1],"['Ga', 'O', 'P']",['Ga'],"['O', 'P']",Ga4 P8 H10 O34,"(C4 H12 N2 2+)3n,n(H10 Ga4 O34 P8 6-)"
XETVOH,0,c1cc(-c2nc(-c3ccncc3)nc(-c3ccncc3)n2)ccn1,[],"['Mo', 'O']",['Mo'],['O'],Mo8 O26,"2(C18 H14 N6 2+),Mo8 O26 4-,2(H2 O1)"
XEVVEA,1,C1CN2CCN1CC2,"[0, 4]","['C', 'F', 'Fe', 'O', 'P']",['Fe'],"['C', 'F', 'O', 'P']",Fe1 P1 H1 C2 O7 F1,"(C6 H14 N2 2+)n,n(C2 H1 F1 Fe1 O7 P1 2-),n(H2 O1)"
XEVVIE,2,NCCN(CCN)CCN,"[0, 4]","['C', 'Fe', 'O', 'P']",['Fe'],"['C', 'O', 'P']",Fe4 P2 H2 C10 O26,"(C6 H21 N4 3+)2n,n(C10 H2 Fe4 O26 P2 6-),5n(H2 O1)"
XEVVUQ,3,NCCCNCCNCCCN,"[0, 4]","['C', 'Fe', 'O', 'P']",['Fe'],"['C', 'O', 'P']",Fe6 P8 H8 C6 O36,"(C8 H26 N4 4+)n,n(C6 H8 Fe6 O36 P8 4-),4n(H2 O1)"
XEVWAX,3,NCCN,"[0, 4]","['C', 'Fe', 'O', 'P']",['Fe'],"['C', 'O', 'P']",Fe2 P2 H6 C2 O12,"(C2 H10 N2 2+)n,n(C2 H6 Fe2 O12 P2 2-)"
XEWZUU,0,c1ccc(Nc2ccccn2)nc1,[22],"['C', 'Cl', 'La', 'O']",['La'],"['C', 'Cl', 'O']",La2 H8 C16 Cl24 O20,"C16 H8 Cl24 La2 O20 2-,2(C10 H10 N3 1+)"
XEXREX,2,NCCNCCN,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']",Zn4 P4 H2 O16,"(C4 H15 N3 2+)n,n(H2 O16 P4 Zn4 2-)"
